0,9,514.7109,195.2731,31.03,75.17
0,15,274.4912,262.9999,32.9129,88.7021
0,19,654.358,282.4698,42.3382,81.0743
1,9,512.6294,195.7523,31.03,75.17
1,15,279.0846,261.9036,32.7742,88.5046
1,19,647.7543,282.569,42.1596,81.387
2,9,510.1914,196.4363,31.03,75.17
2,15,284.6897,260.5657,32.6048,88.2635
2,19,639.684,282.684,41.9382,81.7663
3,9,507.6019,197.2706,31.03,75.17
3,15,290.8408,259.0973,32.419,87.9988
3,19,630.7887,282.7904,41.6834,82.1755
4,9,504.9746,198.186,31.03,75.17
4,15,297.2085,257.577,32.227,87.7247
4,19,621.4815,282.8503,41.3896,82.5813
5,9,502.3192,199.1347,31.03,75.17
5,15,303.6393,256.0412,32.0334,87.4475
5,19,611.8967,282.8165,41.0364,82.9576
6,9,499.5844,200.0974,31.03,75.17
6,15,310.07,254.505,31.84,87.17
6,19,602.0571,282.6529,40.6055,83.2873
7,9,496.6253,201.0721,31.03,75.17
7,15,316.5007,252.9688,31.6466,86.8925
7,19,591.9629,282.3594,40.0968,83.5701
8,9,493.2282,202.0811,31.03,75.17
8,15,322.9315,251.433,31.453,86.6153
8,19,581.6817,281.9701,39.5307,83.8183
9,9,489.1899,203.1624,31.03,75.17
9,15,329.3344,249.8971,31.259,86.3382
9,19,571.2996,281.529,38.9339,84.0478
10,9,484.4311,204.3685,31.03,75.17
10,15,335.6416,248.3598,31.064,86.0605
10,19,560.8775,281.0675,38.325,84.27
11,9,478.9944,205.7513,31.03,75.17
11,15,341.7085,246.8182,30.8677,85.7809
11,19,550.4503,280.5961,37.7128,84.4875
12,9,473.0492,207.3049,31.03,75.17
12,15,347.3302,245.2685,30.6689,85.4977
12,19,540.0456,280.1106,37.1011,84.6962
13,9,466.8209,208.9244,31.03,75.17
13,15,352.3459,243.7076,30.467,85.2094
13,19,529.6979,279.5891,36.4911,84.8828
14,9,460.4666,210.4539,31.03,75.17
14,15,356.7557,242.1354,30.2618,84.9159
14,19,519.4556,279.0004,35.8842,85.0284
15,9,453.9927,211.7933,31.03,75.17
15,15,360.7203,240.5548,30.054,84.6188
15,19,509.357,278.3205,35.2815,85.1181
16,9,447.3472,212.9373,31.03,75.17
16,11,734.003,339.0365,37.1672,111.6926
16,15,364.4448,238.9695,29.8448,84.3198
16,19,499.4023,277.5493,34.6823,85.1515
17,9,440.5885,213.9248,31.03,75.17
17,11,729.5744,337.3731,36.9799,111.2743
17,15,368.0603,237.3899,29.635,84.02
17,19,489.5534,276.7108,34.0856,85.1433
18,9,433.956,214.7536,31.03,75.17
18,11,724.1704,335.3436,36.7511,110.7641
18,15,371.6004,235.8352,29.425,83.72
18,19,479.7834,275.8246,33.495,85.1087
19,9,427.7647,215.3707,31.03,75.17
19,11,718.2405,333.1165,36.4999,110.2047
19,15,375.0202,234.3446,29.215,83.42
19,19,470.1113,274.8854,32.9215,85.0525
20,9,422.2411,215.7211,31.03,75.17
20,11,712.1021,330.811,36.24,109.6259
20,15,378.2097,232.9772,29.0074,83.121
20,19,460.6848,273.8399,32.3903,84.9619
21,9,417.4158,215.8062,31.03,75.17
21,11,705.9025,328.4825,35.9776,109.0419
21,12,736.5319,318.299,25.1364,99.6006
21,15,381.0707,231.7883,28.8083,82.8253
21,19,451.7797,272.5971,31.9373,84.8116
22,9,413.1367,215.7018,31.03,75.1702
22,11,699.7022,326.154,35.7151,108.4581
22,12,732.3013,316.806,25.1181,99.3055
22,15,383.5649,230.8049,28.6304,82.5381
22,19,443.7819,271.0648,31.5908,84.5797
23,9,409.2495,215.5093,31.03,75.171
23,11,693.5017,323.8255,35.4528,107.8741
23,12,727.1383,314.9843,25.0954,98.9456
